success, failure
45 35
64 46
114 83
200 174
218 237
284 288
317 315
431 441
456 452
518 510
592 592
678 638
731 705
806 762
927 866
1050 938
1088 981
1131 1016
1178 1131
1181 1158
1221 1238
1301 1302
1339 1387
1352 1407
1369 1414



Note: above is for training data ^^^

TEST DATA:
All factors except category:
8866 7947

Only default:
