score
23
360
5
4220
98
319
1
84
1
1545
44
25
65
199
14
267
5
68
4083
4
69
3
814
37
703
82
35
4
610
906
124
549
3
40
184
195
1681
1189
4229
3886
3764
559
34
3757
1
599
215
1
5
171
27
0
1892
1385
204
225
4
52
2684
6
167
3366
107
4302
30
340
1781
108
55
0
5
3915
3450
66
31
5
760
2174
32
5
37
126
18
0
3118
4328
65
1347
1245
888
1438
2133
793
216
1
3214
12
2
1492
25
6
5
18
69
1673
49
1
4043
8
2364
3193
2462
18
26
3265
3329
1
121
52
3782
392
277
2888
3240
3643
39
0
524
196
5
762
2534
55
2587
7
92
2671
123
11
41
2511
3
95
11
115
3807
1780
161
261
250
2359
20
1
594
2135
3122
2213
32
3895
3
825
6
143
101
52
2862
209
4
17
2
91
1174
127
3105
1
3054
112
2
31
1301
53
11
35
8
647
505
10
227
146
1414
1089
2930
2805
18
447
1252
42
281
3307
434
3902
2
95
32
4059
666
1554
0
590
915
149
709
16
9
52
17
32
4794
1216
728
5399
33
3815
3113
4
1157
54
2562
52
142
218
71
455
4
1117
1513
175
79
30
11
825
3211
207
1611
1286
3
1564
1003
156
3
7
120
0
10
195
9
916
42
8
658
2109
103
1
46
9
3885
1018
4
133
3778
199
2798
2478
50
2770
211
30
41
161
86
896
3381
39
4112
435
271
174
843
191
515
128
188
175
98
2221
495
3198
76
51
152
334
1629
1
202
0
0
48
1479
6
12
5
96
268
14
6
26
8
5
239
34
11
3742
3097
288
0
4859
50
3579
2937
1
4
2901
204
412
1
26
274
193
2
13
43
0
50
3664
10
4
0
4
1
516
80
623
44
3557
2
63
340
31
212
374
3990
3317
24
1331
982
37
3559
128
14
7
1369
106
25
597
76
3287
2688
4656
25
23
42
295
19
303
2806
1836
13
2
12
3522
3
3
216
3431
60
14
1
1211
4
27
66
28
5
1814
2387
0
242
776
1974
396
128
228
1
75
3310
167
8
617
2613
39
1
1402
0
1057
1431
259
0
2757
0
2851
1894
3350
236
293
84
6
1
66
17
3693
181
3
334
54
452
184
673
2
2955
0
1868
68
1856
1829
7
97
1
3855
25
401
0
7
1
86
147
500
5
204
119
3814
2
21
3654
3169
316
295
0
150
86
11
3
2
964
1848
79
2
7245
1
76
2711
2365
791
1440
215
2101
2757
135
3763
48
2576
