post	similarity
post_id_1	1.0                      
post_id_2	.04223973
post_id_3	.60863008
post_id_4	.12274537 
post_id_5	.0992402
post_id_6	.09747842
post_id_7	.06635152
post_id_8	.1134177 
post_id_9	.05395637
post_id_10	.09259317
