post	similarity
news	1
worldnews	0.995715234
philadelphia	0.9493997002
tech	0.8962244743
baseball	0.7971127563
travel	0.7813361852
django	0.6980614755
pimpcats	0.6145307835
Fitness	0.6145307835
bodyweightfitness	0.6145307835
WTF	0.5172308967
Celebs	0.379995344
GameDeals	0.287626866
AsianPorn	-0.0110652202
